thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,down,1,2.467311750006047,None,4,0,0,0,0,0.007643750010174699,,0.004309042007662356,0.007643750010174699,1.0335412499989616,1.0335412499989616,3.71219975000713,down,1,2.467311750006047,None,4,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
1,0,1,down,1,0.953624123998452,None,-5,1,0,1,0,3.7982459170016227,,3.7123515420098556,3.7982459170016227,4.709589042002335,4.709589042002335,5.678173375010374,down,1,0.953624123998452,None,-5,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
2,0,2,down,1,0.898988165994524,None,-4,2,0,2,0,5.701658707999741,,5.67871408299834,5.701658707999741,6.676394292007899,6.676394292007899,7.578901333006797,down,1,0.898988165994524,None,-4,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
3,0,3,down,1,1.2721090410050238,None,-4,3,0,3,0,7.586532542001805,,7.579673250002088,7.586532542001805,8.576180083007785,8.576180083007785,9.86127629200928,down,1,1.2721090410050238,None,-4,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
4,0,4,up,1,1.015582666004775,None,0,4,0,4,0,9.868215583002893,,9.861788042006083,9.868215583002893,10.859680792011204,10.859680792011204,11.878582500008633,up,1,1.015582666004775,None,0,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
5,0,5,down,1,0.9648405829939293,None,1,5,0,5,0,11.886417542002164,,11.8793377920083,11.886417542002164,12.876378000000841,12.876378000000841,13.845118375000311,down,1,0.9648405829939293,None,1,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
6,0,6,down,1,0.7272333330038236,None,1,6,0,6,0,13.850214958001743,,13.845876375009539,13.850214958001743,14.843035625002813,14.843035625002813,15.578158707998227,down,1,0.7272333330038236,None,1,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
7,0,7,down,1,1.1438938740029698,None,-4,7,0,7,0,15.585540500003844,,15.57871108299878,15.585540500003844,16.576324708003085,16.576324708003085,17.727474208004423,down,1,1.1438938740029698,None,-4,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
8,0,8,down,0,1.2396537079912378,None,0,8,0,8,0,17.733881042004214,,17.727872208008193,17.733881042004214,18.726304458003142,18.726304458003142,19.978100917011034,down,0,1.2396537079912378,None,0,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
9,0,9,up,1,0.813643999004853,None,0,9,0,9,0,19.98509900001227,,19.97852554199926,19.98509900001227,20.976387875009095,20.976387875009095,21.79444512500777,up,1,0.813643999004853,None,0,1,001,2025-09-09_16h30.21.008,Orientation Discrimination task  T2,,2025.1.1,None,2025-09-09 16h30.33.411624 +0530,
