reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
9.0,18.0,12.0,0,0,0,t,3.0010116660268977,None,0,0,0,8,0.04630220800754614,,0.033010249986546114,0.04630220800754614,1.0100773329904769,1.0100773329904769,1.0337032079987694,4.212342082988471,t,3.0010116660268977,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
40.0,55.0,62.0,1,1,0,t,3.7142717489914503,None,0,1,1,3,4.220586666982854,,4.215276874980191,4.220586666982854,5.204121582995867,5.204121582995867,5.2152858749905135,8.919652124983259,t,3.7142717489914503,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
90.0,101.0,190.0,2,2,0,t,2.480546458013123,None,0,2,2,7,8.940866541990545,,8.926564332999988,8.940866541990545,9.915453541994793,9.915453541994793,9.936159375007264,12.401347250008257,t,2.480546458013123,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
27.0,50.0,21.0,3,3,0,l,2.901947623991873,None,0,3,3,2,12.417597416992066,,12.410917375003919,12.417597416992066,13.39892362500541,13.39892362500541,13.41528487499454,16.30438666700502,l,2.901947623991873,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
67.0,75.0,119.0,4,4,0,l,2.319706165988464,None,0,4,4,5,16.318154624983435,,16.31180199998198,16.318154624983435,17.304174541990506,17.304174541990506,17.315310332982335,19.633768542000325,l,2.319706165988464,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
50.0,69.0,49.0,5,5,0,t,2.973583332000999,None,0,5,5,9,19.648228917008964,,19.641008916980354,19.648228917008964,20.632164832990384,20.632164832990384,20.636223624984268,23.617131250008242,t,2.973583332000999,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
15.0,35.0,13.0,6,6,0,t,1.670398208021652,None,0,6,6,1,23.63450429198565,,23.6268546670035,23.63450429198565,24.615320749988314,24.615320749988314,24.63216504198499,26.2878692499944,t,1.670398208021652,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
78.0,80.0,162.0,7,7,0,t,3.8819476240023505,None,0,7,7,6,26.30156129199895,,26.29461499999161,26.30156129199895,27.28745516698109,27.28745516698109,27.298562374984613,31.183798999991268,t,3.8819476240023505,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
49.0,60.0,89.0,8,8,0,t,3.635774082998978,None,0,8,8,4,31.198053416999755,,31.190445999993244,31.198053416999755,32.18224887500401,32.18224887500401,32.186729749984806,35.820467416982865,t,3.635774082998978,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
11.0,30.0,7.0,9,9,0,l,1.459461165999528,None,0,9,9,0,35.834862957999576,,35.82697929200367,35.834862957999576,36.8151815419842,36.8151815419842,36.832079124986194,38.28363583298051,l,1.459461165999528,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
27.0,50.0,21.0,10,0,1,l,1.596717374981381,None,1,0,10,2,38.30004099998041,,38.291872999980114,38.30004099998041,39.28188162500737,39.28188162500737,39.298595917003695,40.883842332987115,l,1.596717374981381,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
11.0,30.0,7.0,11,1,1,l,1.6475101659889333,None,1,1,11,0,40.898395166994305,,40.890391124994494,40.898395166994305,41.88201149998349,41.88201149998349,41.885871082980884,43.53374349998194,l,1.6475101659889333,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
50.0,69.0,49.0,12,2,1,t,3.5778474569960963,None,1,2,12,9,43.548807582992595,,43.54105183298816,43.548807582992595,44.532108124985825,44.532108124985825,44.53664445798495,48.11704683298012,t,3.5778474569960963,None,1,001,2025-10-30_09h33.10.003,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h33.17.728566 +0530,
