delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,1000.0,exp,0,0,0,space,0.5424723330070265,None,400,1,[8.96747337502893],[8.967476207995787],0,0,0,6,0.019486999954096973,,0.01561829197453335,0.019486999954096973,0.9939331249915995,0.9939331249915995,1.0073876669630408,1.746090666973032,space,0.5424723330070265,None,1.7464578750077635,0.1064471669960767,0.40738358395174146,2.158007624966558,2.160829374974128,2.1848531249561347,2.1848531249561347,2.1848531249561347,11.152483334008139,400,1,[8.96747337502893],[8.967476207995787],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,1000.0,exp,1,1,0,space,0.5787264159880579,None,400,1,[4.724370290990919],[4.724373457953334],0,1,1,10,11.155126917001326,,11.152682541985996,11.155126917001326,12.141023500007577,12.141023500007577,12.15353316697292,12.722220249997918,space,0.5787264159880579,None,12.724271416955162,0.401685000048019,0.7010860420414247,13.427780416968744,13.429010166961234,13.444459249963984,13.444459249963984,13.444459249963984,18.168994417006616,400,1,[4.724370290990919],[4.724373457953334],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.7,400.0,unexp,2,2,0,space,0.6267935840296559,None,700,1,[2.1802131250151433],[2.180215791973751],0,2,2,2,18.171408166992478,,18.16913754196139,18.171408166992478,19.157725333992857,19.157725333992857,19.170025541970972,19.78877979196841,space,0.6267935840296559,None,19.790757333976217,0.701819916954264,1.001777041994501,20.79510724998545,20.796309249999467,20.811603333975654,20.811603333975654,20.811603333975654,22.992014791991096,700,1,[2.1802131250151433],[2.180215791973751],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,1000.0,exp,3,3,0,space,0.38403516699327156,None,100,1,[2.0892652079928666],[2.0892676659859717],0,3,3,3,23.002036583959125,,22.992142834002152,23.002036583959125,23.99086704198271,23.99086704198271,23.99086704198271,24.38882129197009,space,0.38403516699327156,None,24.39055966696469,0.10165929095819592,0.40105245797894895,24.794466874969658,24.79627987497952,24.812880249985028,24.812880249985028,24.812880249985028,26.902314624981955,100,1,[2.0892652079928666],[2.0892676659859717],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,400.0,unexp,4,4,0,space,0.8615836669923738,None,500,1,[2.0253927090088837],[2.0253950839978643],0,4,4,0,26.905161208997015,,26.902444167004433,26.905161208997015,27.890914624964353,27.890914624964353,27.903309041983448,28.755309792002663,space,0.8615836669923738,None,28.75732816697564,0.10078962502302602,0.401947625039611,29.160661667003296,29.16169258399168,29.176712749991566,29.176712749991566,29.176712749991566,31.20226695900783,500,1,[2.0253927090088837],[2.0253950839978643],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,400.0,unexp,5,5,0,space,0.3829192499979399,None,400,1,[1.0980714589823037],[1.09807395900134],0,5,5,1,31.2053153339657,,31.20239816699177,31.2053153339657,32.19147866696585,32.19147866696585,32.203522541967686,32.58829695900204,space,0.3829192499979399,None,32.58965183398686,0.40163779101567343,0.7019047500216402,33.29439595900476,33.29540058400016,33.31072216696339,33.31072216696339,33.31072216696339,34.408960542001296,400,1,[1.0980714589823037],[1.09807395900134],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.7,1000.0,exp,6,6,0,space,0.4597589580225758,None,100,1,[3.1626593749970198],[3.162661917041987],0,6,6,11,34.41860362497391,,34.40909158397699,34.41860362497391,35.406614666979294,35.406614666979294,35.406614666979294,35.8717498339829,space,0.4597589580225758,None,35.873633834009524,0.7019058750011027,1.0019217919907533,36.87828779197298,36.87955712497933,36.89568983396748,36.89568983396748,36.89568983396748,40.05851724999957,100,1,[3.1626593749970198],[3.162661917041987],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,1000.0,exp,7,7,0,space,0.6833049159613438,None,700,1,[2.1825242919730954],[2.182526708988007],0,7,7,7,40.06860333395889,,40.058657334011514,40.06860333395889,41.05686654197052,41.05686654197052,41.05686654197052,41.742010416986886,space,0.6833049159613438,None,41.74327083397657,0.4111037499969825,0.7112343339831568,42.45764149999013,42.4590455419966,42.47603587497724,42.47603587497724,42.47603587497724,44.658723458996974,700,1,[2.1825242919730954],[2.182526708988007],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.7,1000.0,exp,8,8,0,space,0.642220499983523,None,300,1,[2.09488454204984],[2.0948873330489732],0,8,8,5,44.66862295899773,,44.65884916699724,44.66862295899773,45.65779129200382,45.65779129200382,45.65779129200382,46.30521224997938,space,0.642220499983523,None,46.306832125002984,0.7019361249986105,1.0024269170244224,47.31189774995437,47.313281999959145,47.32820979197277,47.32820979197277,47.32820979197277,49.423275667009875,300,1,[2.09488454204984],[2.0948873330489732],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,1000.0,exp,9,9,0,space,0.4998691670480184,None,400,1,[1.645091834012419],[1.6450945420074277],0,9,9,9,49.435421374975704,,49.423407583963126,49.435421374975704,50.419967749970965,50.419967749970965,50.423773416958284,50.922123083961196,space,0.4998691670480184,None,50.92353904200718,0.10105829098029062,0.40134129096986726,51.32773670897586,51.328734583978076,51.344559416989796,51.344559416989796,51.344559416989796,52.989821708993986,400,1,[1.645091834012419],[1.6450945420074277],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
