stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.017532666999613866,,0.004261750000296161,0.017532666999613866,0.5189551670046058,0.5189551670046058,0.5189551670046058,0.8086519999997108,1.3229951250032173,right,10.0,1,1,0.6023923340035253,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
1,2,8.0,1.4083203330010292,,1.3230984580004588,1.4083203330010292,1.821428167000704,1.821428167000704,1.821428167000704,2.107840208002017,2.5394948750035837,right,8.0,1,1,0.7074688749999041,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
2,2,6.0,2.562477042003593,,2.5397981670030276,2.562477042003593,3.0379592919998686,3.0379592919998686,3.0379592919998686,3.325199999999313,4.159219375003886,right,6.0,1,1,1.1187863329978427,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
3,2,4.0,4.171436667005764,,4.159486750002543,4.171436667005764,4.654751207999652,4.654751207999652,4.654751207999652,4.94189266700414,5.406438875004824,left,-4.0,1,1,0.7441465000010794,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
4,2,2.0,5.413621375002549,,5.406823500001337,5.413621375002549,5.9047919170043315,5.9047919170043315,5.9047919170043315,6.191324833002,6.60630758300249,left,-2.0,1,1,0.6930362499988405,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
5,2,1.0,6.613293000002159,,6.606643292005174,6.613293000002159,7.104830542004493,7.104830542004493,7.104830542004493,7.392229208002391,7.973174750004546,right,1.0,1,1,0.856943874998251,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
6,2,1.0,7.9804492500043125,,7.97360666700115,7.9804492500043125,8.471535917000438,8.471535917000438,8.471535917000438,8.757623333003721,9.289903458004119,left,-1.0,1,1,0.8062122499977704,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
7,1,1.0,9.297108042002947,,9.290289583004778,9.297108042002947,9.787996500002919,9.787996500002919,9.787996500002919,10.075307708000764,10.690501042001415,right,1.0,0,0,0.897856084004161,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
8,1,2.0,10.695412958004454,,10.690982750005787,10.695412958004454,11.187926083002822,11.187926083002822,11.187926083002822,11.474938542000018,11.959836708003422,left,-2.0,1,1,0.767814749997342,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
9,1,2.0,11.971376667002914,,11.960110292005993,11.971376667002914,12.454729707998922,12.454729707998922,12.454729707998922,12.741044500005955,13.189801042004547,left,-2.0,1,1,0.7228855830035172,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
10,1,2.0,13.196945042000152,,13.190222917000938,13.196945042000152,13.68806058300106,13.68806058300106,13.68806058300106,13.974861667004006,14.54033829200489,right,2.0,1,1,0.8486011249988223,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
11,1,1.0,14.54474708300404,,14.540648375004821,14.54474708300404,15.037872375003644,15.037872375003644,15.037872375003644,15.325050708001072,16.023079417005647,right,1.0,1,1,0.9778059169984772,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
12,1,1.0,16.030218917003367,,16.023435125003743,16.030218917003367,16.521353000003728,16.521353000003728,16.521353000003728,16.808226250002917,17.50688458300283,left,-1.0,1,1,0.9822372920025373,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
13,1,1.0,17.51117383300152,,17.50718595800572,17.51117383300152,18.004711000001407,18.004711000001407,18.004711000001407,18.291427667005337,19.006547000004502,right,1.0,1,1,0.9877340409948374,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
14,1,1.0,19.01395337500435,,19.00695891700161,19.01395337500435,19.504797583002073,19.504797583002073,19.504797583002073,19.7915530829996,20.439621417004673,right,1.0,1,1,0.9216610419971403,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
15,1,1.0,20.4464095000003,,20.43990695800312,20.4464095000003,20.93793608299893,20.93793608299893,20.93793608299893,21.224431750000804,21.739646250003716,left,-1.0,1,1,0.7916610840038629,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
16,1,1.0,21.746858167003666,,21.74010220800119,21.746858167003666,22.238194458004727,22.238194458004727,22.238194458004727,22.524638583003252,23.076198375005333,left,-1.0,1,1,0.8343056250014342,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
17,1,1.0,23.088112625002395,,23.076458208000986,23.088112625002395,23.57151566700486,23.57151566700486,23.57151566700486,23.85917179199896,24.256475500005763,left,-1.0,1,1,0.6809187500039116,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
18,1,1.0,24.260906333001913,,24.256837000000814,24.260906333001913,24.75480412500474,24.75480412500474,24.75480412500474,25.04177300000447,25.623246792005375,left,-1.0,1,1,0.8535108340001898,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
19,1,1.0,25.63059479200456,,25.623670000000857,25.63059479200456,26.121443208001438,26.121443208001438,26.121443208001438,26.4083032080016,26.939815417004866,right,1.0,1,1,0.803867957998591,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
20,1,1.0,26.947183458003565,,26.94023370800278,26.947183458003565,27.43806058300106,27.43806058300106,27.43806058300106,27.72493004200078,28.242312624999613,right,1.0,1,1,0.8002317089994904,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
21,1,1.0,28.254698458003986,,28.24256645800051,28.254698458003986,28.73816925000574,28.73816925000574,28.73816925000574,29.024584375001723,29.972902542001975,right,1.0,1,1,1.226096292004513,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
22,1,1.0,29.979843166998762,,29.973217875005503,29.979843166998762,30.471368167003675,30.471368167003675,30.471368167003675,30.757847125001717,31.272977708002145,right,1.0,1,1,0.7988461249988177,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
23,1,1.0,31.27714533299877,,31.27329974999884,31.27714533299877,31.771450833002746,31.771450833002746,31.771450833002746,32.058298750001995,32.55700670800434,left,-1.0,1,1,0.7777252500018221,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
24,1,1.0,32.56461712500459,,32.55759454200597,32.56461712500459,33.05462795800122,33.05462795800122,33.05462795800122,33.34181579200231,33.857210333000694,right,1.0,1,1,0.7895203330044751,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
25,1,1.0,33.86439133300155,,33.857841208002355,33.86439133300155,34.354865291999886,34.354865291999886,34.354865291999886,34.64224358300271,35.17574204200355,right,1.0,1,1,0.8192266669939272,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
26,1,1.0,35.18814787500014,,35.176006500005315,35.18814787500014,35.67132645800302,35.67132645800302,35.67132645800302,35.958260999999766,36.473046708000766,right,1.0,1,1,0.7877926250002929,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
27,1,1.0,36.47948312500375,,36.47334879200207,36.47948312500375,36.97132879200217,36.97132879200217,36.97132879200217,37.25868679200357,37.82613654200395,right,1.0,1,1,0.8517632080038311,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
28,1,1.0,37.838025791999826,,37.82639583299897,37.838025791999826,38.32555775000219,38.32555775000219,38.32555775000219,38.62133208299929,39.07351795800059,right,1.0,1,1,0.7335401249947608,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
29,1,1.0,39.08114404200023,,39.07412650000333,39.08114404200023,39.57134041700192,39.57134041700192,39.57134041700192,39.857952708000084,40.27343225000368,right,1.0,1,1,0.6896684589955839,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
30,1,1.0,40.28033575000154,,40.27388712500397,40.28033575000154,40.77126904200122,40.77126904200122,40.77126904200122,41.05817533300433,41.373036125005456,right,1.0,1,1,0.5918377499983762,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
31,1,1.0,41.37987687500572,,41.37344595800096,41.37987687500572,41.871265000001586,41.871265000001586,41.871265000001586,42.15865670800122,42.642262042005314,left,-1.0,1,1,0.7687006250052946,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
32,1,1.0,42.65469524999935,,42.642525292001665,42.65469524999935,43.137986166999326,43.137986166999326,43.137986166999326,43.425183208004455,43.97538683300081,left,-1.0,1,1,0.8337417919974541,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
33,1,1.0,43.98798316700413,,43.97564787500596,43.98798316700413,44.471271542002796,44.471271542002796,44.471271542002796,44.75868175000505,45.12351666700124,left,-1.0,1,1,0.6486960410038591,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
34,1,1.0,45.128010208005435,,45.12392404200364,45.128010208005435,45.62129658300546,45.62129658300546,45.62129658300546,45.908277125003224,46.14209608300007,left,-1.0,1,1,0.5195188750003581,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
35,0,1.0,46.154769542001304,,46.14235625000583,46.154769542001304,46.637885000003735,46.637885000003735,46.637885000003735,46.92439566700341,47.04284133300098,right,1.0,0,0,0.4019293329984066,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
36,0,1.0,47.0547043750048,,47.04311370800133,47.0547043750048,47.54309933300101,47.54309933300101,47.54309933300101,47.83794000000489,48.02299291700183,right,1.0,1,1,0.47773462499753805,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
37,0,1.0,48.027446958003566,,48.0233672500035,48.027446958003566,48.521338582999306,48.521338582999306,48.521338582999306,48.8084491250047,48.859636000001046,right,1.0,0,0,0.3354992079985095,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
38,0,1.0,48.87129695800104,,48.85989804199926,48.87129695800104,49.360781333001796,49.360781333001796,49.360781333001796,49.658165833003295,49.789828125001804,left,-1.0,0,0,0.4171060410008067,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
39,0,1.0,49.79672837500402,,49.79019620799954,49.79672837500402,50.28788825000083,50.28788825000083,50.28788825000083,50.575215917000605,50.806854333000956,right,1.0,1,1,0.5059450000044308,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
40,0,1.0,50.81367437500012,,50.807265750001534,50.81367437500012,51.30458316700242,51.30458316700242,51.30458316700242,51.59107983300055,51.93945783300296,left,-1.0,1,1,0.6233042079984443,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
41,5,1.0,51.946258458003285,,51.93980020800518,51.946258458003285,52.438060917003895,52.438060917003895,52.438060917003895,52.72430787500343,52.9564010000031,left,-1.0,1,1,0.5087723749966244,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
42,5,1.0,52.96340054200118,,52.956771292003396,52.96340054200118,53.454556832999515,53.454556832999515,53.454556832999515,53.74187075000373,53.840145667003526,right,1.0,0,0,0.37221270800364437,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
43,5,6.0,53.8474820420015,,53.84062083300523,53.8474820420015,54.337915500000236,54.337915500000236,54.337915500000236,54.62422137500107,54.80636283300555,left,-6.0,0,0,0.45681762500316836,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
44,5,11.0,54.81320491700171,,54.80671441700542,54.81320491700171,55.30468162499892,55.30468162499892,55.30468162499892,55.59218383300322,55.67307579200133,left,-11.0,1,1,0.356038541001908,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
45,5,11.0,55.67997124999965,,55.67352420800307,55.67997124999965,56.17136612500326,56.17136612500326,56.17136612500326,56.45796225000231,56.873664792001364,right,11.0,1,1,0.6902456250027171,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
46,5,11.0,56.880486500005645,,56.8741361670036,56.880486500005645,57.3712397920026,57.3712397920026,57.3712397920026,57.658508375003294,58.123141250005574,right,11.0,1,1,0.7474544159995276,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
47,5,6.0,58.127254958002595,,58.123458708003454,58.127254958002595,58.62140850000287,58.62140850000287,58.62140850000287,58.908517208001285,59.25687695800298,left,-6.0,1,1,0.6252961659993161,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
48,5,6.0,59.26441416700254,,59.257513958000345,59.26441416700254,59.75465920800343,59.75465920800343,59.75465920800343,60.04128045800462,60.32363691700448,left,-6.0,1,1,0.5558812500021304,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
