reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
9.0,18.0,12.0,0,0,0,l,6.686588041018695,None,0,0,0,8,0.03420116699999198,,0.03096883400576189,0.03420116699999198,0.9956559590063989,0.9956559590063989,1.0296914589998778,7.867453750019195,l,6.686588041018695,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
78.0,80.0,162.0,1,1,0,t,2.401913957000943,None,0,1,1,6,7.885727417015005,,7.87000158400042,7.885727417015005,8.865123042021878,8.865123042021878,8.880990875011776,11.278709167003399,t,2.401913957000943,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
49.0,60.0,89.0,2,2,0,t,2.853127248992678,None,0,2,2,4,11.294915917009348,,11.287941459013382,11.294915917009348,12.276851667003939,12.276851667003939,12.29347833400243,15.132031042012386,t,2.853127248992678,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
15.0,35.0,13.0,3,3,0,l,1.1638789160060696,None,0,3,3,1,15.156982292013709,,15.141808375017717,15.156982292013709,16.132984292024048,16.132984292024048,16.14697829200304,17.298290250007994,l,1.1638789160060696,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
90.0,101.0,190.0,4,4,0,t,1.4939644580008462,None,0,4,4,7,17.326911750016734,,17.30476991701289,17.326911750016734,18.297958542010747,18.297958542010747,18.314370875013992,19.795146625023335,t,1.4939644580008462,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
40.0,55.0,62.0,5,5,0,t,2.7258384579909034,None,0,5,5,3,19.80897979202564,,19.801955000002636,19.80897979202564,20.793394000007538,20.793394000007538,20.79767420902499,23.529002292023506,t,2.7258384579909034,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
50.0,69.0,49.0,6,6,0,l,1.0191435409942642,None,0,6,6,9,23.541482708998956,,23.536472417006735,23.541482708998956,24.52660295899841,24.52660295899841,24.530333500006236,25.54832712499774,l,1.0191435409942642,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
11.0,30.0,7.0,7,7,0,l,1.301631707989145,None,0,7,7,0,25.56262558401795,,25.55510720901657,25.56262558401795,26.547973167005694,26.547973167005694,26.56005420902511,27.861961084010545,l,1.301631707989145,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
67.0,75.0,119.0,8,8,0,t,2.508601456996985,None,0,8,8,5,27.87601745899883,,27.86874720902415,27.87601745899883,28.8601677090046,28.8601677090046,28.864490500011016,31.378382625000086,t,2.508601456996985,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
27.0,50.0,21.0,9,9,0,l,1.0977705830009654,None,0,9,9,2,31.39244675001828,,31.385182709025685,31.39244675001828,32.376862250006525,32.376862250006525,32.380763250024756,33.478497834003065,l,1.0977705830009654,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
