study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
case,0,0,0,1,1.5446095829975093,,,,,,,,,,,,0,0,0,10,,,,,0.017314999997324776,,0.007814457996573765,0.017314999997324776,0.017314999997324776,1.5635348330033594,1,1.5446095829975093,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
pastry,1,1,0,1,0.9048698330007028,,,,,,,,,,,,0,1,1,9,,,,,1.5709696249978151,,1.566557999998622,1.5709696249978151,1.5709696249978151,2.4811765409976942,1,0.9048698330007028,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
mouse,2,2,0,1,1.8023491249987273,,,,,,,,,,,,0,2,2,8,,,,,2.489189833002456,,2.4833418749985867,2.489189833002456,2.489189833002456,4.296859540998412,1,1.8023491249987273,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
book,3,3,0,1,0.8727823750014068,,,,,,,,,,,,0,3,3,0,,,,,4.303130499996769,,4.2985556249986985,4.303130499996769,4.303130499996769,5.180908583002747,1,0.8727823750014068,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
board,4,4,0,1,1.635492957997485,,,,,,,,,,,,0,4,4,4,,,,,5.188662000000477,,5.183526875000098,5.188662000000477,5.188662000000477,6.830209375002596,1,1.635492957997485,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
keys,5,5,0,1,0.8394023329965421,,,,,,,,,,,,0,5,5,13,,,,,6.836320249996788,,6.83199975000025,6.836320249996788,6.836320249996788,7.680779499998607,1,0.8394023329965421,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
poster,6,6,0,1.0133333333333334,1.8199090420021093,,,,,,,,,,,,0,6,6,14,,,,,7.6870653750011115,,7.682607000002463,7.6870653750011115,7.6870653750011115,9.513438540998322,1.0133333333333334,1.8199090420021093,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
chart,7,7,0,1.0133333333333334,1.0536724580015289,,,,,,,,,,,,0,7,7,6,,,,,9.5203505410027,,9.516044249998231,9.5203505410027,9.5203505410027,10.580216082998959,1.0133333333333334,1.0536724580015289,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
police,8,8,0,1.0133333333333334,1.1060485409980174,,,,,,,,,,,,0,8,8,12,,,,,10.586511583001993,,10.582003124996845,10.586511583001993,10.586511583001993,11.69780583299871,1.0133333333333334,1.1060485409980174,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
marble,9,9,0,1.0133333333333334,1.438682832995255,,,,,,,,,,,,0,9,9,3,,,,,11.705003625000245,,11.699814624997089,11.705003625000245,11.705003625000245,13.147753750003176,1.0133333333333334,1.438682832995255,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
t-shirt,10,10,0,1.0133333333333334,1.4850426250050077,,,,,,,,,,,,0,10,10,7,,,,,13.156140207996941,,13.150615457998356,13.156140207996941,13.156140207996941,14.64678320800158,1.0133333333333334,1.4850426250050077,,,,,,,,,,,,,,,,2,001,2025-10-08_23h54.57.992,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h55.16.566135 +0530,
