thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.08333333333333333)],[np.float64(-0.16833333333333333)],[1],[0],[0],[1.989830583013827],['target'],0,0,0,0,0.015143874974455684,,5,0.008647916984045878,0.015143874974455684,0.015143874974455684,0.008656707999762148,1.9985561669745948,[np.float64(-0.08333333333333333)],[np.float64(-0.16833333333333333)],[1],[0],[0],[1.989830583013827],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
1,0,1,[np.float64(-0.3016666666666667)],[np.float64(0.2)],[1],[0],[0],[1.1851388340000995],['target'],1,0,1,0,2.0179794169962406,,5,2.0112237919820473,2.0179794169962406,2.0179794169962406,0.01241987501271069,3.1964297919766977,[np.float64(-0.3016666666666667)],[np.float64(0.2)],[1],[0],[0],[1.1851388340000995],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
2,0,2,[np.float64(0.185)],[np.float64(-0.23833333333333334)],[1],[0],[0],[1.7558972080005333],['target'],2,0,2,0,3.2160731669864617,,5,3.208906957996078,3.2160731669864617,3.2160731669864617,0.012301290989853442,4.964852457982488,[np.float64(0.185)],[np.float64(-0.23833333333333334)],[1],[0],[0],[1.7558972080005333],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
3,0,3,[np.float64(-0.33166666666666667)],[np.float64(-0.30833333333333335)],[1],[0],[0],[1.7010247919824906],['target'],3,0,3,0,4.985470874991734,,5,4.978668707975885,4.985470874991734,4.985470874991734,0.013627875014208257,6.679750541981775,[np.float64(-0.33166666666666667)],[np.float64(-0.30833333333333335)],[1],[0],[0],[1.7010247919824906],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
4,0,4,[np.float64(-0.10333333333333333)],[np.float64(0.335)],[1],[0],[0],[1.68013120899559],['target'],4,0,4,0,6.708612999995239,,10,6.700812750001205,6.708612999995239,6.708612999995239,0.020865250000497326,8.380987707991153,[np.float64(-0.10333333333333333)],[np.float64(0.335)],[1],[0],[0],[1.68013120899559],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
5,0,5,[np.float64(0.1)],[np.float64(-0.06)],[1],[0],[0],[0.9728301250142977],['target'],5,0,5,0,8.398999416996958,,5,8.392369207984302,8.398999416996958,8.398999416996958,0.011215457983780652,9.36525945799076,[np.float64(0.1)],[np.float64(-0.06)],[1],[0],[0],[0.9728301250142977],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
6,0,6,[np.float64(0.006666666666666667)],[np.float64(0.09166666666666666)],[1],[0],[0],[0.87442424998153],['target'],6,0,6,0,9.39717149999342,,10,9.388407291990006,9.39717149999342,9.39717149999342,0.022958499990636483,10.262873332976596,[np.float64(0.006666666666666667)],[np.float64(0.09166666666666666)],[1],[0],[0],[0.87442424998153],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
7,0,7,[np.float64(-0.11333333333333333)],[np.float64(-0.37)],[1],[0],[0],[1.5424080830125604],['target'],7,0,7,0,10.280037541990168,,5,10.273888666997664,10.280037541990168,10.280037541990168,0.010852708015590906,11.816367999999784,[np.float64(-0.11333333333333333)],[np.float64(-0.37)],[1],[0],[0],[1.5424080830125604],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
8,0,8,[np.float64(-0.035)],[np.float64(-0.16166666666666665)],[1],[0],[0],[1.0247195420088246],['target'],8,0,8,0,11.847518166992813,,10,11.838624083000468,11.847518166992813,11.847518166992813,0.022068167018005624,12.863389124977402,[np.float64(-0.035)],[np.float64(-0.16166666666666665)],[1],[0],[0],[1.0247195420088246],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
9,0,9,[np.float64(-0.04666666666666667)],[np.float64(-0.39166666666666666)],[1],[0],[0],[1.040849166980479],['target'],9,0,9,0,12.880575999995926,,5,12.87462679197779,12.880575999995926,12.880575999995926,0.011068124993471429,13.915539457986597,[np.float64(-0.04666666666666667)],[np.float64(-0.39166666666666666)],[1],[0],[0],[1.040849166980479],['target'],4,001,2025-09-28_17h02.33.627,Visual Search Experiment,,2025.1.1,None,2025-09-28 17h02.43.302776 +0530,
