study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,text_2.stopped,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
keys,0,0,0,1,2.513063083002635,,,,,,,,,,,,0,0,0,13,,,,,0.020210208000207786,,0.008223707998695318,0.020210208000207786,0.020210208000207786,2.5322308329996304,1,2.513063083002635,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
phone,1,1,0,1,1.1353304169970215,,,,,,,,,,,,0,1,1,2,,,,,2.5402039580003475,,2.5356620410020696,2.5402039580003475,2.5402039580003475,3.682191915999283,1,1.1353304169970215,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
cushion,2,2,0,1,0.7542084579981747,,,,,,,,,,,,0,2,2,1,,,,,3.688489833002677,,3.6841558329979307,3.688489833002677,3.688489833002677,4.448867125000106,1,0.7542084579981747,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
mouse,3,3,0,1,1.1544289999947068,,,,,,,,,,,,0,3,3,8,,,,,4.4549478749977425,,4.450661249997211,4.4549478749977425,4.4549478749977425,5.61588916600158,1,1.1544289999947068,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
laptop,4,4,0,1,0.9024992499980726,,,,,,,,,,,,0,4,4,5,,,,,5.623116957998718,,5.618502083001658,5.623116957998718,5.623116957998718,6.53223408300255,1,0.9024992499980726,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
cruise,5,5,0,1,1.6700250829962897,,,,,,,,,,,,0,5,5,11,,,,,6.538832416001242,,6.534539874999609,6.538832416001242,6.538832416001242,8.21547187500255,1,1.6700250829962897,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
pastry,6,6,0,1,1.5372581659976277,,,,,,,,,,,,0,6,6,9,,,,,8.221674415995949,,8.21724966599868,8.221674415995949,8.221674415995949,9.765485333002289,1,1.5372581659976277,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
poster,7,7,0,1,1.1037663749957574,,,,,,,,,,,,0,7,7,14,,,,,9.771838207998371,,9.767380666002282,9.771838207998371,9.771838207998371,10.882176457998867,1,1.1037663749957574,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
chart,8,8,0,1,0.9538976670010015,,,,,,,,,,,,0,8,8,6,,,,,10.888632166002935,,10.883829332997266,10.888632166002935,10.888632166002935,11.848893624999619,1,0.9538976670010015,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
book,9,9,0,1,0.8881977919954807,,,,,,,,,,,,0,9,9,0,,,,,11.854821832996095,,11.850434375002806,11.854821832996095,11.854821832996095,12.749128165996808,1,0.8881977919954807,,,,,,,,,,,,,,,,4,001,2025-10-09_10h27.40.822,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h28.26.747252 +0530,
