pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.2480992499622516,None,0,0,0,0,,,,,0.027426249987911433,,0.021591708005871624,0.027426249987911433,1.0065371670061722,1.0065371670061722,1.0065371670061722,1.0065371670061722,1.0190479169832543,1.9909577500075102,1.9909577500075102,3.4456837080069818,x,1,1.2480992499622516,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,1,1,0,v,1,0.27590116596547887,None,0,1,1,1,,,,,3.4558475830126554,,3.4458628749707714,3.4558475830126554,4.439305207983125,4.439305207983125,4.439305207983125,4.439305207983125,4.450436500017531,5.438905458024237,5.438905458024237,5.718486541998573,v,1,0.27590116596547887,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,2,2,0,c,1,0.29559125000378117,None,0,2,2,2,,,,,5.727187416981906,,5.71907862497028,5.727187416981906,6.716933999967296,6.716933999967296,6.716933999967296,6.716933999967296,6.721498625003733,7.717032167012803,7.717032167012803,8.018311417021323,c,1,0.29559125000378117,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,3,3,0,z,1,0.2842256239964627,None,0,3,3,3,,,,,8.025512374995742,,8.018811208021361,8.025512374995742,9.017022249987349,9.017022249987349,9.017022249987349,9.017022249987349,9.021972624992486,10.016879333008546,10.016879333008546,10.306469917006325,z,1,0.2842256239964627,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,4,0,1,x,1,0.3861170409945771,None,1,0,4,0,,,,,10.316310207999777,,10.306958291970659,10.316310207999777,11.30579591699643,11.30579591699643,11.30579591699643,11.30579591699643,11.30579591699643,12.308343291981146,12.308343291981146,12.701877208019141,x,1,0.3861170409945771,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,5,1,1,v,1,0.2840680420049466,None,1,1,5,1,,,,,12.712306333007291,,12.702446124982089,12.712306333007291,13.700281583005562,13.700281583005562,13.700281583005562,13.700281583005562,13.704855624993797,14.700402375019621,14.700402375019621,14.989449582993984,v,1,0.2840680420049466,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,6,2,1,c,1,0.28911604202585295,None,1,2,6,2,,,,,14.999511250003707,,14.989963291969616,14.999511250003707,15.990795082994737,15.990795082994737,15.990795082994737,15.990795082994737,15.990795082994737,16.989275291969534,16.989275291969534,17.284844250010792,c,1,0.28911604202585295,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,7,3,1,z,1,0.383691998955328,None,1,3,7,3,,,,,17.29498737497488,,17.285404541995376,17.29498737497488,18.283607041987125,18.283607041987125,18.283607041987125,18.283607041987125,18.288126458006445,19.283644833019935,19.283644833019935,19.673374167003203,z,1,0.383691998955328,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,8,0,2,x,1,0.32516441599000245,None,2,0,8,0,,,,,19.683048958017025,,19.6738823329797,19.683048958017025,20.67282716697082,20.67282716697082,20.67282716697082,20.67282716697082,20.67282716697082,21.673182791972067,21.673182791972067,22.00184724997962,x,1,0.32516441599000245,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,9,1,2,v,1,0.25510691601084545,None,2,1,9,1,,,,,22.011687624966726,,22.00240662501892,22.011687624966726,23.000246291980147,23.000246291980147,23.000246291980147,23.000246291980147,23.005046707985457,24.000163582968526,24.000163582968526,24.268537666997872,v,1,0.25510691601084545,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,10,2,2,c,1,0.3912328750011511,None,2,2,10,2,,,,,24.278614707989618,,24.269152458000463,24.278614707989618,25.26704087498365,25.26704087498365,25.26704087498365,25.26704087498365,25.273087250010576,26.266881874995306,26.266881874995306,26.668833374977112,c,1,0.3912328750011511,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,11,3,2,z,1,0.29533995798556134,None,2,3,11,3,,,,,26.679142666980624,,26.669794458022807,26.679142666980624,27.66692004201468,27.66692004201468,27.66692004201468,27.66692004201468,27.67177224997431,28.66691308299778,28.66691308299778,28.968482249998488,z,1,0.29533995798556134,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,12,0,3,x,1,0.3861779159633443,None,3,0,12,0,,,,,28.97835887497058,,28.969119667017367,28.97835887497058,29.96693283302011,29.96693283302011,29.96693283302011,29.96693283302011,29.971697375003714,30.96696362498915,30.96696362498915,31.356476916989777,x,1,0.3861779159633443,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,13,1,3,v,1,0.3992627079715021,None,3,1,13,1,,,,,31.366178500000387,,31.356977791991085,31.366178500000387,32.35621054196963,32.35621054196963,32.35621054196963,32.35621054196963,32.35621054196963,33.35585329198511,33.35585329198511,33.756485207995865,v,1,0.3992627079715021,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,14,2,3,c,1,0.27191270800540224,None,3,2,14,2,,,,,33.76624270802131,,33.75699445797363,33.76624270802131,34.7553033750155,34.7553033750155,34.7553033750155,34.7553033750155,34.7553033750155,35.75609462498687,35.75609462498687,36.03512924996903,c,1,0.27191270800540224,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,15,3,3,z,1,0.2676518329535611,None,3,3,15,3,,,,,36.04487608297495,,36.03567833302077,36.04487608297495,37.03362299996661,37.03362299996661,37.03362299996661,37.03362299996661,37.038203249976505,38.03345754201291,38.03345754201291,38.30572037497768,z,1,0.2676518329535611,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,16,0,4,x,1,0.30655249900883064,None,4,0,16,0,,,,,38.31612762500299,,38.30621141701704,38.31612762500299,39.30490175000159,39.30490175000159,39.30490175000159,39.30490175000159,39.30490175000159,40.30023287498625,40.30023287498625,40.618510041967966,x,1,0.30655249900883064,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,17,1,4,v,1,0.30188120796810836,None,4,1,17,1,,,,,40.62829233298544,,40.619077417009976,40.62829233298544,41.61690695799189,41.61690695799189,41.61690695799189,41.61690695799189,41.62163466698257,42.6169466249994,42.6169466249994,42.92339612497017,v,1,0.30188120796810836,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,18,2,4,c,1,0.29227641597390175,None,4,2,18,2,,,,,42.93317475001095,,42.923903041984886,42.93317475001095,43.921547167003155,43.921547167003155,43.921547167003155,43.921547167003155,43.921547167003155,44.92253887502011,44.92253887502011,45.218730374996085,c,1,0.29227641597390175,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,19,3,4,z,1,0.31894520798232406,None,4,3,19,3,,,,,45.22875341697363,,45.21943045797525,45.22875341697363,46.217105916992296,46.217105916992296,46.217105916992296,46.217105916992296,46.222367457987275,47.21701533300802,47.21701533300802,47.53942733298754,z,1,0.31894520798232406,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,20,0,5,x,1,0.2987664999673143,None,5,0,20,0,,,,,47.54949091700837,,47.539928500016686,47.54949091700837,48.539518458012026,48.539518458012026,48.539518458012026,48.539518458012026,48.539518458012026,49.538886333000846,49.538886333000846,49.84011333301896,x,1,0.2987664999673143,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,21,1,5,v,1,0.3333887499757111,None,5,1,21,1,,,,,49.867024458013475,,49.8405961249955,49.867024458013475,50.83917554200161,50.83917554200161,50.83917554200161,50.83917554200161,50.853985957975965,51.839301333006006,51.839301333006006,52.18524541700026,v,1,0.3333887499757111,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,22,2,5,c,1,0.2538662079605274,None,5,2,22,2,,,,,52.19517870800337,,52.18590550002409,52.19517870800337,53.18349045800278,53.18349045800278,53.18349045800278,53.18349045800278,53.18961516697891,54.18362824997166,54.18362824997166,54.43871291697724,c,1,0.2538662079605274,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,23,3,5,z,1,0.27691275003599003,None,5,3,23,3,,,,,54.44979229196906,,54.43919616698986,54.44979229196906,55.43878995801788,55.43878995801788,55.43878995801788,55.43878995801788,55.43878995801788,56.439605499967,56.439605499967,56.71860641700914,z,1,0.27691275003599003,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,24,0,6,x,1,0.3235604999936186,None,6,0,24,0,,,,,56.728298917005304,,56.71930737502407,56.728298917005304,57.7168357920018,57.7168357920018,57.7168357920018,57.7168357920018,57.72164000000339,58.71697574999416,58.71697574999416,59.05224566697143,x,1,0.3235604999936186,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,25,1,6,v,1,0.5092994580045342,None,6,1,25,1,,,,,59.062345166981686,,59.05316612496972,59.062345166981686,60.050241332966834,60.050241332966834,60.050241332966834,60.050241332966834,60.05513695802074,61.05011387501145,61.05011387501145,61.56865295796888,v,1,0.5092994580045342,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,26,2,6,c,1,0.27649474900681525,None,6,2,26,2,,,,,61.57823400001507,,61.569226957974024,61.57823400001507,62.56696633301908,62.56696633301908,62.56696633301908,62.56696633301908,62.57262824999634,63.566839166975114,63.566839166975114,63.85157733300002,c,1,0.27649474900681525,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,27,3,6,z,1,0.2821813329937868,None,6,3,27,3,,,,,63.861223125015385,,63.8521533330204,63.861223125015385,64.85023649997311,64.85023649997311,64.85023649997311,64.85023649997311,64.85504020797089,65.85017945797881,65.85017945797881,66.13510658300947,z,1,0.2821813329937868,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,28,0,7,x,1,0.25475470803212374,None,7,0,28,0,,,,,66.145025292004,,66.13577375002205,66.145025292004,67.1335036670207,67.1335036670207,67.1335036670207,67.1335036670207,67.13858266698662,68.13347870798316,68.13347870798316,68.39973237499362,x,1,0.25475470803212374,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,29,1,7,v,1,0.41223962494404987,None,7,1,29,1,,,,,68.40396420797333,,68.40018729201984,68.40396420797333,69.38949070801027,69.38949070801027,69.38949070801027,69.38949070801027,69.40005054196808,70.38895250001224,70.38895250001224,70.80645958299283,v,1,0.41223962494404987,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,30,2,7,c,1,0.2884702080045827,None,7,2,30,2,,,,,70.81608758302173,,70.80698458297411,70.81608758302173,71.80552029202227,71.80552029202227,71.80552029202227,71.80552029202227,71.80552029202227,72.8057619999745,72.8057619999745,73.10214570799144,c,1,0.2884702080045827,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,31,3,7,z,1,0.21712658304022625,None,7,3,31,3,,,,,73.11136191699188,,73.10267337498954,73.11136191699188,74.10016529198037,74.10016529198037,74.10016529198037,74.10016529198037,74.10508912499063,75.1000004169764,75.1000004169764,75.32251433300553,z,1,0.21712658304022625,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,32,0,8,x,1,0.2889946660143323,None,8,0,32,0,,,,,75.33266383298906,,75.3230513749877,75.33266383298906,76.32198108301964,76.32198108301964,76.32198108301964,76.32198108301964,76.32198108301964,77.32212045800406,77.32212045800406,77.61891291697975,x,1,0.2889946660143323,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,33,1,8,v,1,0.3943729579914361,None,8,1,33,1,,,,,77.62906254199333,,77.61960974999238,77.62906254199333,78.61694395798258,78.61694395798258,78.61694395798258,78.61694395798258,78.62234629201703,79.6167766249855,79.6167766249855,80.01885862497147,v,1,0.3943729579914361,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,34,2,8,c,1,0.2651843329658732,None,8,2,34,2,,,,,80.02862612501485,,80.0195070829941,80.02862612501485,81.0167890000157,81.0167890000157,81.0167890000157,81.0167890000157,81.02137912501348,82.01683379197493,82.01683379197493,82.28507195797283,c,1,0.2651843329658732,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,35,3,8,z,1,0.28144516597967595,None,8,3,35,3,,,,,82.29484866699204,,82.28564866702072,82.29484866699204,83.28362241701689,83.28362241701689,83.28362241701689,83.28362241701689,83.28860091697425,84.28349666699069,84.28349666699069,84.56845983298263,z,1,0.28144516597967595,None,,,,,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
