word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,textbox.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,text.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,textbox_2.started,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0031684159985161386,0.006356999998388346,0.006356999998388346,1.5566911659989273,space,1.3890173750005488,None,,,,,,,,,,,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,0,0,0,r,1,0.987149999000394,None,0,0,0,0,1.5781792499983567,,,,,,,,,1.574127749998297,1.5781792499983567,1.5781792499983567,2.0537689579996368,2.075157040999329,2.577336790998743,r,1,0.987149999000394,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,1,1,0,b,1,1.1968597490013053,None,0,1,1,1,2.5884741249992658,,,,,,,,,2.5785420829997747,2.5884741249992658,2.5884741249992658,3.075327249998736,3.0791865829996823,3.793712124999729,b,1,1.1968597490013053,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,2,2,0,r,1,1.3081048750009359,None,0,2,2,3,3.810128207998787,,,,,,,,,3.8030444999985775,3.810128207998787,3.810128207998787,4.2919801249991,4.308499790999122,5.126699665999695,r,1,1.3081048750009359,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,3,3,0,b,1,1.0021642909996444,None,0,3,3,2,5.13510983299966,,,,,,,,,5.12778383299883,5.13510983299966,5.13510983299966,5.6251193749994854,5.628500915998302,6.144751415999053,b,1,1.0021642909996444,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,4,0,1,b,1,1.6177140820000204,None,1,0,4,1,6.156502499999988,,,,,,,,,6.149846957998307,6.156502499999988,6.156502499999988,6.641831332999573,6.644951708000008,7.777797749999081,b,1,1.6177140820000204,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,5,1,1,r,1,1.2172953330009477,None,1,1,5,0,7.79381312499936,,,,,,,,,7.778785207998226,7.79381312499936,7.79381312499936,8.275207249998857,8.291936999999962,9.013515749998987,r,1,1.2172953330009477,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,6,2,1,r,1,1.4122336240016011,None,1,2,6,3,9.024953832999017,,,,,,,,,9.017823665999458,9.024953832999017,9.024953832999017,9.514684790998217,9.514684790998217,10.443559999999707,r,1,1.4122336240016011,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,7,3,1,b,1,1.0855922490009107,None,1,3,7,2,10.451519290998476,,,,,,,,,10.444626790998882,10.451519290998476,10.451519290998476,10.941849624998213,10.944821249999222,11.543303665999701,b,1,1.0855922490009107,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,8,0,2,r,1,0.9385402070001874,None,2,0,8,3,11.548595124999338,,,,,,,,,11.544095833000029,11.548595124999338,11.548595124999338,12.042061415999342,12.04624395799874,12.49342762499873,r,1,0.9385402070001874,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,9,1,2,r,1,1.1663007909992302,None,2,1,9,0,12.503808582998317,,,,,,,,,12.497543915998904,12.503808582998317,12.503808582998317,12.991902165998908,12.994821665999552,13.676988332999827,r,1,1.1663007909992302,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,10,2,2,b,1,0.9683927910009515,None,2,2,10,1,13.68469449999975,,,,,,,,,13.67788866599949,13.68469449999975,13.68469449999975,14.175354665998384,14.178924915999232,14.660252707999462,b,1,0.9683927910009515,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,11,3,2,b,1,0.9787782910007081,None,2,3,11,2,14.671272415998828,,,,,,,,,14.664858124999228,14.671272415998828,14.671272415998828,15.15852516599989,15.161432915998375,15.66002429099899,b,1,0.9787782910007081,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,12,0,3,r,1,0.9309292910002114,None,3,0,12,0,15.670998457999303,,,,,,,,,15.664462957998694,15.670998457999303,15.670998457999303,16.158630540998274,16.162223249999442,16.610510624999733,r,1,0.9309292910002114,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,13,1,3,b,1,1.2114976240009128,None,3,1,13,1,16.61847220799973,,,,,,,,,16.611644832999445,16.61847220799973,16.61847220799973,17.10854470799859,17.112134915998467,17.84371529099917,b,1,1.2114976240009128,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,14,2,3,r,1,1.5811310409990256,None,3,2,14,3,17.85484358299982,,,,,,,,,17.848353582998243,17.85484358299982,17.85484358299982,18.34180812499835,18.34509395799978,19.444301290999647,r,1,1.5811310409990256,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,15,3,3,b,1,1.2549188749999303,None,3,3,15,2,19.452006499999698,,,,,,,,,19.44524454099883,19.452006499999698,19.452006499999698,19.941937999999936,19.945341540998925,20.710479332999967,b,1,1.2549188749999303,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,16,0,4,r,1,1.0576635819998046,None,4,0,16,0,20.72116008299963,,,,,,,,,20.714717082999414,20.72116008299963,20.72116008299963,21.20855979099906,21.211547332999544,21.780157499999405,r,1,1.0576635819998046,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,17,1,4,b,1,1.8028508740007965,None,4,1,17,1,21.79197033299897,,,,,,,,,21.781091832999664,21.79197033299897,21.79197033299897,22.281251290998625,22.281251290998625,23.596959124999557,b,1,1.8028508740007965,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,18,2,4,b,1,1.2125362910010153,None,4,2,18,2,23.608348332998503,,,,,,,,,23.60197374999916,23.608348332998503,23.608348332998503,24.099291082999116,24.099291082999116,24.827023915999234,b,1,1.2125362910010153,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,19,3,4,r,1,1.0933348329999717,None,4,3,19,3,24.835311457998614,,,,,,,,,24.828338207998968,24.835311457998614,24.835311457998614,25.3252596659986,25.328791374999128,25.92987095799981,r,1,1.0933348329999717,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,20,0,5,r,1,1.1949387080003362,None,5,0,20,3,25.941944415999387,,,,,,,,,25.930831040999692,25.941944415999387,25.941944415999387,26.4311513749999,26.4311513749999,27.144524665998688,r,1,1.1949387080003362,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,21,1,5,b,1,0.9549044579998736,None,5,1,21,2,27.15281312499974,,,,,,,,,27.145875082998828,27.15281312499974,27.15281312499974,27.641799790999357,27.64504533299987,28.109989790998952,b,1,0.9549044579998736,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,22,2,5,b,1,1.4189369159994385,None,5,2,22,1,28.120722124998792,,,,,,,,,28.11402412499956,28.120722124998792,28.120722124998792,28.608434249999846,28.611612374999822,29.544047124998542,b,1,1.4189369159994385,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,23,3,5,r,1,1.2110778330006724,None,5,3,23,0,29.550594624999576,,,,,,,,,29.544967707999604,29.550594624999576,29.550594624999576,30.04160629099897,30.04532645799918,30.764621540998633,r,1,1.2110778330006724,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,24,0,6,r,1,1.250805499001217,None,6,0,24,3,30.77878999999848,,,,,,,,,30.76941424999859,30.77878999999848,30.77878999999848,31.264641874999143,31.27511654099908,32.04383583299932,r,1,1.250805499001217,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,25,1,6,b,1,1.2372749989990552,None,6,1,25,1,32.0563057499985,,,,,,,,,32.048312415998225,32.0563057499985,32.0563057499985,32.54171666599905,32.54476974999852,33.29654295799992,b,1,1.2372749989990552,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,26,2,6,b,1,1.0010624990009092,None,6,2,26,2,33.32551358299861,,,,,,,,,33.301165915998354,33.32551358299861,33.32551358299861,33.79187487499985,33.811732790998576,34.33008229099869,b,1,1.0010624990009092,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,27,3,6,r,1,1.0957664990000922,None,6,3,27,0,34.35884695799905,,,,,,,,,34.33460866599853,34.35884695799905,34.35884695799905,34.83159916599834,34.84486345799996,35.46046008299891,r,1,1.0957664990000922,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,28,0,7,b,1,1.0354297490011959,None,7,0,28,2,35.47307316599836,,,,,,,,,35.46537237499979,35.47307316599836,35.47307316599836,35.95849079099935,35.96149270799833,36.510696165998525,b,1,1.0354297490011959,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,29,1,7,r,1,1.1811705410000286,None,7,1,29,0,36.52338645799864,,,,,,,,,36.515546790999,36.52338645799864,36.52338645799864,37.008425915999396,37.0118475829986,37.71041904099911,r,1,1.1811705410000286,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,30,2,7,b,1,1.1119178330009163,None,7,2,30,1,37.71949537499859,,,,,,,,,37.71162704099879,37.71949537499859,37.71949537499859,38.208513624998886,38.21156962499845,38.843794332999096,b,1,1.1119178330009163,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,31,3,7,r,1,1.2585539570009132,None,7,3,31,3,38.85580024999945,,,,,,,,,38.84825174999969,38.85580024999945,38.85580024999945,39.34180099999867,39.34494366599938,40.12712224999996,r,1,1.2585539570009132,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,blue,C,b,32,0,8,b,1,1.0650349160005135,None,8,0,32,2,40.13637933299833,,,,,,,,,40.128432249999605,40.13637933299833,40.13637933299833,40.625207999999475,40.628903457998604,41.211253707999276,b,1,1.0650349160005135,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,33,1,8,r,1,1.7866774989997793,None,8,1,33,0,41.221671124998466,,,,,,,,,41.216788040999745,41.221671124998466,41.221671124998466,41.708383582999886,41.71157687499908,43.012679165998634,r,1,1.7866774989997793,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,blue,I,b,34,2,8,b,1,0.8932810829992377,None,8,2,34,1,43.02512158299942,,,,,,,,,43.01367620799829,43.02512158299942,43.02512158299942,43.508558374998756,43.51249920800001,43.92668458299886,b,1,0.8932810829992377,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
BLUE,red,I,r,35,3,8,r,1,1.4502149999989342,None,8,3,35,3,43.942046582998955,,,,,,,,,43.9326266249991,43.942046582998955,43.942046582998955,44.4250958749999,44.42794966599831,45.396662415998435,r,1,1.4502149999989342,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
RED,red,C,r,36,0,9,r,1,1.1680876660011563,None,9,0,36,0,45.40826462499899,,,,,,,,,45.40114241599986,45.40826462499899,45.40826462499899,45.89786179099974,45.89786179099974,46.580299915998694,r,1,1.1680876660011563,None,,,,5,001,2025-08-21_16h21.56.738,stroop 0.1,,2025.1.1,None,2025-08-21 16h22.02.636731 +0530,
